ID,Frame,Memory 1,Memory 2,Memory 3,Top Resonance,Bottom Resonance,Usage,Notes
1,Stigmata,Charlotte,Leeuwenhoek,,Attack Crit,Signature,Main,"[Awakening Set | Pain Cage, Warzone, Norman, High Difficulty]
Recommended SS0 and under
General DPS set. 
Still ok at SS3 and above as an easier to use set, but suboptimal for competitive scenarios"
2,Stigmata,Charlotte,Cottie,,Attack Crit,Signature,Main,"[Awakening Set | Pain Cage, Warzone, Norman, High Difficulty]
SS0: Just for some Pain Cage stages
SS3 or higher: Main set for Warzone and general content. Some Pain Cage stages. 
Pain Cage set for quicker second ultimate kills. Can be used as a Warzone set for solo DPS / multiple ult Stigmata (SS3 can do, but SSS0 much more effective)"
3,Stigmata,Charlotte,Cottie,,Attack Crit,Core4 Passive,Secondary,"[Pain Cage]
Recommended SSS0 or higher
Pain Cage set for quick boss kills on first ult phase. Used on a lot of stages."
4,Stigmata,Charlotte,Darwin,,Attack Crit,Core Passive,Secondary,"[Pain Cage]
Recommended SSS0 or higher
Pain Cage set for strats where Cottie can't kill. Can be either first or second ult (second ult kill prefers Signature resonances)."
5,Rigor,Leeuwenhoek,Catherine,,Attack Crit,Class Passive,Main,"[Awakening Set | Pain Cage, Warzone, Norman, High Difficulty]
Set gives maximum defense shred, allowing Rosetta to both support the main DPS and also come on field to sub DPS. Great performance in all possible content.
Leap Set"
6,Rigor,Da Vinci,Catherine,,Attack Crit,Class Passive,Niche,"[Pain Cage]
Set for after Arisa - Echo's release
Ultimate Pain Cage support set for Bianca - Stigmata when paired with Echo. Provides a higher boost in damage than Leeuwenhoek due to the low defenses on bosses."
7,Crimson Abyss,Fredrick,Darwin,,Attack Crit,Core Passive,Main,"[Awakening Set | Pain Cage, Warzone, Norman, High Difficulty]
Strong performance in all content. This set allows the highest burst possible, which perfectly suits her swordwave kit.
Leap set"
8,Entropy,Hanna,Darwin,,Yellow,Attack Crit,Main,"[Awakening Set | Pain Cage, Warzone, Norman, High Difficulty]
General DPS set 
Used with Leaped Liv - Luminance"
9,Entropy,Darwin,Leeuwenhoek,,Attack Crit,Attack Crit,Secondary,"[Pain Cage, Warzone, Norman, High Difficulty]
Alternative dps set. Offers slighty higher damage, but needs good orb management (and thus orb rng). 
2 set can also be Frederick, up to preference. "
10,Entropy,Patton,Darwin,,Attack Crit,Core Passive,Secondary,"[Pain Cage, Warzone, Norman, High Difficulty]
General build if no Leaped Liv - Luminance"
11,Luminance,Da Vinci,Philip II,,Attack Crit,Signature,Main,"[Awakening Set | Pain Cage, Warzone, Norman, High Difficulty]
General set that allows her to debuff for the other DPS on the team and dish out damage at the same time"
12,Luminance,Hanna,Cottie,,Attack Crit,Attack Crit,Niche,"[Awakening Set | Warzone, Norman, High Difficulty]
Recommended for budget nier (SSS A2, and both 2B/9S at SS or lower)
DPS set for if you don't plan to swap off of A2 at all (Solo DPS). 
Can keep any Signature/Attack Crit if not going for perfection, difference is minimal."
13,Luminance,Patton,Darwin,,Attack Crit,Signature,Niche,"[Awakening Set | Pain Cage, Warzone, Norman, High Difficulty]
General QTE Support Set.
9S deals good damage even with Da Vinci on him when invested"
14,Zitherwoe,Da Vinci,Philip II,,Attack Crit,Attack Crit,Main,"[Pain Cage, Warzone, Norman, High Difficulty]
Recommended SSS or higher
DPS set "
15,Zitherwoe,Hanna,Darwin,,Attack Crit,Core Passive,Niche,"[Awakening Set | Pain Cage, Warzone, Norman, High Difficulty]
Recommended SSS
General DPS set."
16,Bastion,Hanna,Cottie,,Attack Crit,Class Passive,Main,"[High Difficulty]
Recommended SS or lower
DPS set"
17,Bastion,Da Vinci,Catherine,,Attack Crit,Class Passive,Secondary,"[Pain Cage, Warzone, Norman, High Difficulty]
Requires Leap
QTE support set, best Physical support option"
18,Brilliance,Da Vinci,Catherine,,Attack Crit,Class Passive,Main,"[Awakening Set | High Difficulty]
Hanna matrixes and Cottie for frequent ults gives her very high survivability."
19,Brilliance,Chen Jiyuan,Gloria,,Attack Crit,Class Passive,Niche,"[Pain Cage, Warzone, Norman, High Difficulty]
DPS Set for Leap"
20,Blast,Hanna,Darwin,,Attack Crit,Core Passive,Main,"[Pain Cage, Warzone, Norman, High Difficulty]
General QTE Support set. Use Catherine instead of Philip if using on Kowloong Team."
21,Blast,Da Vinci,Voltaire,,Attack Crit,Attack Crit,Niche,"[High Difficulty]
DPS set"
22,Zero,Patton,Cottie,,Attack Crit,Signature,Main,"[Awakening Set | High Difficulty]
DPS set"
